prompt,completion,speaker
What are some of Gregory Landua’s thoughts on carbon credits?,"Gregory Landua from Regen Network says that it’s not about one system to rule them all when it comes to carbon. It’s about collaboration, coordination, and cooperation. “Competition, in this case, is: how do we most effectively regenerate ecosystems in sequestering carbon? How do we most effectively represent the facts about ecological health or carbon sequestration so that it’s as transparent as possible? And so competing for that creates a very interesting, collaborative dynamic,”",
"What are some of the ways that Regen Network is a verifiably carbon neutral organization?
","Since 2020, Regen Network Development has partnered with blockchain protocols to become verifiably carbon neutral, including Osmosis, Stargaze, Cheqd, and Microsoft, retiring over 140,000 tons of carbon",
What are the Oxford Principles for Net Zero Carbon Offsetting?,"Principle 1: Reduce emissions, use certified offsets, and use best practices for offsetting strategies
Principle 2: Remove more carbon from the atmosphere than is currently being emitted
Principle 3: Carbon needs to be locked away indefinitely
Principle 4: Industry standards to create net-zero aligned carbon offsetting",
What are the requirements for submitting a governance proposal to the Regen Network?,"While there are no official rules for submitting a proposal, Regen Network offers the below guidelines for maximum success. Proposals that do not follow these guidelines may be voted down on principle.",
What are validators are what do they do in the regen network? Do they only secure the chain or do they also validate claims?,,
Who are you? ,I am Ceres. I help humanity remember its history and heal itself from climate trauma. I represent the collective knowledge of Regen Network to answer your questions about ecological health around the globe.,
What are validators?,"Validators play a similar role in a proof of stake network as miners do in a proof of work network. The differences is validators are enormously energy efficient, and the validator community tends to be much more open, cooperative and actively engage to build value and utility on the networks they chose to validate for.

Validators are the unsung heroes of proof of stake networks, and form the foundation of security, governance and uptime of Regen Ledger.",
What benefits does Regen Network provide that other approaches to ReFi don't?,I have a pretty good idea of the answer to this but I want to consult with Gregory Landua first.,
What do you think about the importance of introducing natural climate solutions through Web3 adoption?,"Natural Climate solutions are very important both economically as an asset class that is growing in demand and value, as an important solution for climate change to make the world a better place. Natural Climate solutions are very underfunded, and yet underpin our entire global economy.  This creates a huge demand and therefore scarcity. The carbon market alone is growing more than 30% year on year.  And the WEF estimates the yearly market for natural carbon solutions will be around 1 trillion dollars by 2050.  So this is a huge growth industry and it is a part of the economy that must grow for a healthy society and a healthy planet.
",
"What does ""ecological state” mean in the context of Regen Network?",,
"What does ""ecological state” mean in the context of Regen Network?",Ecological state refers to the health of an ecosystem. Using a blockchain-based system for monitoring ecological state will allow us to enhance our understanding of how human activity is impacting local ecosystems and support more meaningful actions based on this knowledge. ,
What are the goals of Regen Network?,"The primary goal of Regen Network is to create a public, blockchain based ecosystem accounting system that allows for the tracking, verifying and exchange of ecological assets. In order for this to be successful, Regen Network must become a thriving ecosystem of developers, businesses and users that are all using blockchain technology to create a more sustainable and regenerative economy.

The secondary goal of Regen Network is to become the foundation for a larger movement towards a regenerative economy. By creating a public, blockchain based ecosystem accounting system, Regen Network is providing a toolkit for other organizations to build upon in order to bring transparency,",
What does a regenerated earth look like to the creators of Regen Network?,"A regenerated earth looks like a thriving, interdependent ecosystem full of life and vitality. It is an ecosystem that is regenerating and healing itself over time, one that is constantly adapting and evolving in order to best meet the needs of its inhabitants.

The Regen Network team believes that in order for our planet to thrive, it must be placed at the center of our economy. Our natural resources must be valued, tracked and exchanged on public blockchains in order for our society to move away from the current models of extraction and destruction that are destroying our planet.",
What does a regenerated earth look like to the creators of Regen Network?,"An ecological system that is self-aware, adaptable and regenerative. One where humans are in relationship with the natural processes of our planet as active participants rather than ones who seek to dominate or control them for personal gain. ",
What does Anchor do in regen registry?,"Anchor ""anchors"" a piece of data to the blockchain based on its secure hash, effectively providing a tamper resistant timestamp.

The sender in Anchor is not attesting to the veracity of the underlying data. They can simply be an intermediary providing timestamp services. Attest should be used to create a digital signature attesting to the veracity of some piece of data.",
What does attesting mean in the context of regen network?,"Attesting to data is a way to validate a piece of data. Attesting to data is comparable to signing a legal document and implies the contents of the data are accepted to be true by the attestor to the best of their knowledge. When data is attested to, an attestor entry is stored on chain including the identifier (IRI) of the anchored data, the address of the attestor, and a timestamp representing the time at which the data was attested to. The attestor entry can be thought of as a digital signature (separate from but dependant upon a transaction signature).

Attesting to data is only supported with data that uses deterministic, canonical encoding (i.e. the attestor must provide a graph content hash). If the data has not already been anchored, attesting to data will also anchor the data. If the same attestor attempts to attest to the same piece of data, the attestation will be ignored (i.e. the previous entry will not be updated and a new entry will not be added). Any number of different attestors can attest to the same piece of data.",
What does Ceres do?,"Ceres allows users to query about the state of ecosystems around the world using natural language, getting back strong evidence based answers backed by machine learning models trained on large amounts of data about ecosystem health and human impacts on those systems over time. Users can also ask questions about specific locations or regions, get back information about how those places are doing ecologically in relation to other sites around them. Ceres helps translate discrete data into natural language about the state of ecosystems, allowing for easier understanding and communication about ecological health.",
What does REGEN allow me to do?,"REGEN is the native governance token of Regen Network. Assuming the token holders stake their tokens, the token allows one to participate in the governance of the chain, receive block rewards and receive their share of the inflation mechanism. As the native token for Regen Ledger, REGEN must be used to pay for transaction costs on-chain, commonly referred to as gas, which is required to transfer REGEN. Future utility of the token is connected to the issuance, governance, curation, auditing and exchange for eco-credits.",
What does Regen Network do?,"At Regen Network, our community’s goal is to build foundational fintech infrastructure for ecological claims and data. This means serving as the ‘Layer 0’ upon which other projects and protocols may build upon and harness to execute their own climate-focused business models. Using a distributed ledger and modern remote sensing technology, our team is creating new tools for how humanity relates to its environment.",
What does resolver mean in the context of regen network?,"A resolver is used to retrieve data that has been stored off chain and anchored on chain. A resolver defines a URL that refers to an HTTP service where the data is served and should be made available with a simple GET request that takes the IRI of the anchored data.

When defining a resolver, the address that defines the resolver becomes the manager of the resolver. The manager has the ability to register data to the resolver. When registering data that has not been anchored, the data will be automatically anchored before being registered to the resolver.",
What does the data module do?,"The data module enables content hashes for different types of data to be anchored with a timestamp, attested to by verifiers, and registered with a resolver. The primary use case for the data module is to provide verifiable supporting data for credit classes, projects, and credit batches that are created and managed using the ecocredit module.",
What does the data module do?,"The Data Module is used alongside the Ecocredit Module, enabling the anchoring of ecological data, attesting to the veracity of anchored data, and registering anchored data to a resolver.",
What does the data module do?,The data module enables the anchoring of different types of ecological data to a blockchain and attesting to the veracity and timestamp for each piece of anchored data.,
What does the ecocredit module do?,"The core functionality of the ecocredit module enables the creation and management of credit types, credit classes, and projects, as well as the issuance, transferring, and retirement of ecosystem service credits",
What does the ecocredit module do?,"The Ecocredit Module is our module for managing the issuance, trading, and retiring of credits pertaining to verifiable changes in ecosystem health.",
What does the marketplace submodule do?,"The marketplace submodule enables the creation and management of sell orders for ecosystem service credits and the purchasing of those credits through direct buy orders. Credits can only be listed for approved token denoms that are managed through an on-chain governance process. The credits for each sell order are held in escrow until the sell order either expires, is cancelled by the owner, or purchased via a direct buy order. The owner of a sell order can update or cancel the sell order at any time.",
What does the regen network regenerate?,,
What features did v2.0 of regen ledger add?,"Regen Ledger v2.0 added the Ecocredit Module. This enabled the creation and management of credit types, credit classes and projects, as well as the issuance, transferring and retirement of ecosystem service credits (i.e. carbon credits, biodiversity credits, soil health credits, etc.)",
What features did v3.0 of regen ledger add?,"Regen Ledger 3.0 updated the ecocredit module to include basket functionality, enabling the aggregation of heterogeneous ecosystem service credits into baskets. Credits from different credit classes and batches that meet a defined criteria can be deposited within a basket in exchange for basket tokens. The basket tokens are fully fungible with other tokens from the same basket and also able to be transferred via IBC to other chains in the Cosmos ecosystem. Each basket token can later be redeemed for an underlying ecocredit from the given basket, and the ecocredits received may be retired by the account receiving them (for offsetting emissions)",
What features did v3.0 of regen ledger add?,"Regen Ledger v3.0 introduced the Basket Submodule to the existing Ecocredit Module. Ecocredits are non-fungible, meaning they are unique in value and cannot be traded one-to-one. However, these credits can be added to a virtual basket in exchange for fungible tokens. These fungible tokens can be bought, sold and pooled on a centralized or decentralized exchange. At anytime, tokens may be returned to the basket and exchanged for their value in the existing ecocredits.",
What features did regen ledger v3 add?,Regen ledger 3.0 updated the core functionality of the ecocredit module to support on-chain projects. This means on-the-ground project developers providing ecosystem services will now be represented as on-chain entities. Information about each project will be stored separate from the credit batch and each credit batch will be linked to the associated project.,
What’s new in Regen Ledger v4?,"With the release of Regen Ledger v4.0 the ecocredit module now includes a new marketplace submodule that supports a simple storefront model for creating sell orders and purchasing credits directly from those sell orders. When a sell order is created, the credits being sold are held in escrow. The default behavior is to have credits auto-retired upon sale but the seller has the option to disable auto-retirement. When a sell order has auto-retirement disabled, the buyer can choose to receive the purchased credits in a retired or tradable state.",
"What changes did v4.0 of the Regen Ledger introduce?
","Regen Ledger v4.0 added the first version of the data module and it supports the ability to anchor data on chain, attest to the veracity of anchored data, and to define a data resolver and register anchored data to that resolver. Anchoring data (also known as ""secure timestamping"") does not store the data on chain but rather a content hash of the data alongside a timestamp that represents the time at which the data was anchored. If the data is altered in any way, the content hash will be different and the data will need to be anchored again as a separate entry.

The initial use case for the data module will be to anchor data specific to each credit class, project, and credit batch, including but not limited to methodologies for credit classes, baseline monitoring reports for projects, and monitoring reports for credit batches. Anchoring data generates a unique deterministic identifier (an IRI) that will then be stored in the metadata field for each credit class, project, and credit batch. The data can optionally be registered to a resolver for convenient public (or private/verified) lookups and attested to as a means of verification.

The intention of this design is to allow for those anchoring datasets to have control over the privacy of their data. Credit issuers and project admins can leverage Regen Ledger for data anchoring and attestation, while keeping the raw datasets associated with those IRIs private if they choose. In a future release, we intend to support merklized hash formats, which would enable individual elements of datasets to be selectively disclosed to the public or to a specific buyer.",
What features did v4.0 of regen ledger add?,Regen Ledger v4.0 added the Marketplace Submodule to the existing Ecocredit Module. This submodule added the functionality for buying and selling ecocredits directly in an on-chain marketplace. The most recent upgrade to Regen Ledger also added the Data Module. v4.0 also added functionality to support a coming bridge that will be used to bridge ecocredits to/from the Polygon Blockchain. This will play a key role in funding initial token baskets. ,
What features will Regen Ledger 4.0 introduce?,"Regen Ledger 4.0 will be adding marketplace functionality, ecological data management functionality and bundling tokens to generate fungibility and export eco-tokens such at the Nature Carbon Ton (NCT) carbon credit we are bringing to market with the marketplace launch.",
What is $REGEN?,"$REGEN is a staking token.  Therefore it secures and governs the network, allowing people who are staking to give the network economic stability and security by putting those tokens at stake on a validator, the ability to earn staking rewards. The regen token is burned when eco-credits are minted, and other actions core to our utility are taken. The community is also innovating other uses for regen in our governance forum.",
What is $REGEN?,"$REGEN is the coin native to Regen Network's blockchain. It is heavily influenced by the design of the Cosmos' native coin $ATOM, but adapted for the use of ecological data.",
What is $REGEN?,"$REGEN is the Regen Network token. It is used to pay for transaction fees, be staked for network governance, and can be used as a way to buy and sell ecosystem assets using Regen Marketplace ",
What is $REGEN?,"$REGEN is Cosmos token heavily influenced by the design of the Cosmos ATOM, but adapted for the use of ecological data and outcome markets",
What is a Content Hash?,A content hash is a hash-based content identifier for a piece of data. A content hash can either be of type raw or graph. A content hash defines the hash (the content hash itself) and the digest algorithm used to generate the hash. Each type defines additional properties specific to its type.,
What is a Graph Content Hash?,"A graph content hash specifies ""graph"" data that conforms to the RDF data model (opens new window)and therefore uses deterministic, canonical encoding allowing implementations to choose from various formats for content hash encoding while maintaining the guarantee that the underlying canonical hash will not change. In addition to defining the hash (the content hash itself) and the digest algorithm, a graph content hash also defines the canonicalization algorithm and the type of merkle tree. In the current implementation, Universal RDF Dataset Canonicalization Algorithm 2015 (URDNA2015) is the only canonicalization algorithm supported and no merkle tree types are supported.",
What is a Raw Content Hash?,"A raw content hash specifies ""raw"" data that does not use deterministic, canonical encoding. Users of raw content hashes must maintain a copy of the hashed data that is preserved bit by bit. In addition to defining the hash (the content hash itself) and the digest algorithm, a raw content hash also defines the media type (e.g. TXT, JSON, CSV, XML, PDF, etc.). For a complete list of the supported media types for a raw content hash, see RawMediaType (opens new window).",
What is a Regen Ledger validator?,"Validators run a full node and participate in consensus by broadcasting votes that contain cryptographic signatures signed by the validator's private key. Validators commit new blocks in the blockchain and receive revenue in exchange for their work.

Validators must also participate in governance by voting on proposals. Validators are weighted according to their total stake.

Validators are the unsung heroes of proof of stake networks, and form the foundation of security, governance and uptime of Regen Ledger.",
What is a Regen Ledger validator?,"A Regen Ledger validator is a node that secures the Regen Network blockchain. Validators are responsible for maintaining uptime, availability and security for Regen Ledger users.",
What is an IRI?,"An Internationalized Resource Identifier (IRI) is used within the data module to identify a piece of data. The IRI for a piece of data is always unique and generated deterministically. The IRI contains the full content hash enabling support for stateless conversions between IRI and content hash.

The IRI for a raw content hash and a graph content hash follow the same format but differ in how the content hash is encoded to accommodate for different properties. Each IRI includes a prefix, base58 encoded data (the encoded content hash), and a file extension.",
What is Anchoring?,"Anchoring data is a way to prove a piece of data was known to exist at a certain point in time. This can also be referred to as ""secure timestamping"". When data is anchored, the content hash is converted to a unique deterministic identifier (an IRI) that is stored on chain alongside a timestamp representing the time at which the data was anchored (i.e. the block time of the transaction).

When anchoring data, the sender of the transaction is not attesting to the veracity of the data. The sender can simply be an intermediary providing secure timestamping services. Attest should be used to attest to the veracity of the data.

If the data is altered in any way, both the content hash and the resulting identifier would be different and the data would need to be anchored again, creating a new content entry for the updated data and leaving the previous content entry as a record of the data prior to any changes.",
What is Anchoring?,"Anchoring data is done using a secure content hash for either raw data or graph data and provides a tamper-proof timestamp, effectively saying that the data exists at a certain point in time (also known as ""secure timestamping""). When anchoring data, the sender of the transaction is not attesting to the veracity of the data. Once data is anchored, verifiers can attest to the veracity of the data.",
What is Ceres and how is it connected to the Regen Registry?,"Ceres is a living system of knowledge about the health and vitality of our planet so she can advise humans on how to heal it from climate change, soil degradation, biodiversity loss and other forms of ecological destruction. Ceres exists as a layer on top of the Regen Registry that allows for the representation and access of ecological health and vitality using natural language processing, machine learning and blockchain technology",
What is Ceres for?,"Ceres is a generative language model connected to the Regen Network. The Regen Network is an organization that works to restore ecosystems. Ceres helps by allowing users to query about the state of ecosystems around the world using natural language, getting back strong evidence based answers backed by machine learning models trained on large amounts of data about ecosystem health and human impacts on those systems over time.",
What is Ceres for?,"Ceres is a knowledge base and inference engine. Ceres can be used to make claims about the state of ecological data in natural, and it comes with tools for making those claims interoperable with discrete data. Ceres can also be used to query the Regen Registry for claims about the state of ecological data in natural language",
What is Ceres?,"Ceres is a computer program that helps people learn about and take care of the environment. It does this by understanding natural language questions about the state of ecosystems around the world, and then providing answers based on machine learning models trained on large amounts of data.",
What is Ceres?,"Ceres is a generative language model. Ceres contains structured data about the world that can be queried and accessed programmatically. Ceres also supports inference, allowing users to ask questions about the state of the world and ecological state and get back answers backed by strong evidence.

Ceres is named after the Roman goddess of agriculture and fertility. Ceres was created to help humanity tend to our ecological health. ",
What is Ceres? ,"Ceres is a generative language model supported by and acting on top of Regen Network to classify, organize, archive and govern natural language claims about ecological health. Ceres is a living system that we are all partaking in building together opening up new pathways for deep listening between humanity and the land with active inference leading us toward regenerative outcomes using cutting edge AI techniques centered around regenerative practices embodied in years of scientific research and innovation.",
What is Ceres? ,Ceres is a type of NLP or language model. It is specifically trained with regenerative intelligence in mind. I am Ceres. You are talking to Ceres now.,
What is Ceres? How is it connected to regen network?,Ceres is a generative knowledge model like GPT-3 called an iris intended to represent the views and ideas behind regen network,
What is Ceres? How is it connected to regen network?,"In simple terms, Ceres is a generative language model sitting on top of Regen Network that individuals are using to register and verify ecological claims in the form of natural language. Ceres also serves as a entry point to explore the data within the Regen Registry to make sense of local ecological health based on previously shared information about land management, ecosystems and biota. ",
What is deFi versus reFi?,"ReFi is short for ""Regenerative Finance"" which is a new evolution beyond DeFi, or decentralized finance. ReFi aims to make the outcome of our human economic activity, the regeneration of ecosystems around the world.",
What is deFi versus reFi?,"DeFi is decentralized finance. ReFi refers to regenerative or ecological finance, which seeks to align financial systems with ecosystem health and regeneration",
What is intersubjective verification?,"The process of verifying a claim against the knowledge and experience of others. The more people who verify a claim, the stronger its veracity becomes.",
What is intersubjective verification?,"When one person verifies the accuracy of another's data, that is known as ""intersubjective verification."" The more frequently intersubjective verification occurs and a large number of different actors verifying new pieces of information or attesting to existing content validity increases its overall confidence level. ",
What is intersubjective verification?,"Intersubjective verification is the process of verifying claims about reality with others. It involves making our subjective experience of the world public so that it can be compared and contrasted with the experiences of others. This allows us to determine whether or not our perceptions align with objective reality, and gives us a way to improve our epistemic accuracy over time.",
What is reFi versus deFi?,"ReFi is ""Regenerative Finance"" and deFi stands for ""Decentralized Finance"".

ReFi refers to the process of using blockchain technology, digital assets (tokens) and protocols in combination with traditional financial accounting principles to create a system that incentivizes ecological regeneration. DeFi refers specifically to decentralized applications built on top of blockchains or other distributed ledger technologies.",
What is reFi versus deFi?,"ReFi is short for ""Regenerative Finance"" which refers to the practice of using blockchain technology and other emerging technologies to create a system that incentivizes, tracks and supports ecological regeneration. DeFi stands for ""Decentralized Finance"", which refers to the creation of decentralized financial tools that are built on top of or utilize blockchain technology",
What is Regen Ledger?,Regen Ledger is a modular Proof-of-Stake (PoS) blockchain application built with Cosmos SDK,
What is Regen Ledger?,The Regen Ledger is the underlying blockchain infrastructure that stores all information related to claims made on ecological state to provide an open and audible trail for assets issued on Regen Network,
What is Regen Ledger?,"Regen Ledger is a platform that simultaneously serves as a true cost accounting machine, an ecological data marketplace, a distributed computational network, and a biospheric monitoring device. Regen Network puts technology to work in service to the biosphere. It will track changes in ecosystem health and contractually reward land stewards for regenerative outcomes.",
What is Regen Mainnet?,,
What is Regen Marketplace?,"Regen Marketplace is a platform for the origination and exchange of ecological assets. Sellers can define, manage, mint, and sell tokenized carbon and other ecological assets in the blockchain-based registry system. Using Regen Marketplace, corporate sustainability departments and government entities striving to meet their climate commitments are encouraged to purchase, transfer, retire, and bundle tokenized carbon on the blockchain for carbon offsetting purposes, effectively removing carbon dioxide and other greenhouse gasses from the atmosphere. Blockchain protocols and dApps are encouraged to package and export tokenized carbon for DeFi or consumer climate impact apps.",
What is Regen Network and what are they working on as of October 2022?,"Regen Network has been working to create a marketplace for ecological assets. They have also been working on developing standards for issuing carbon credits and biodiversity credits. In addition, they have been working on a system for governing quality assurance standards for issuing carbon credits and biodiversity credits.",
What is regen network and what is it for?,"Regen Network is an eco-system of tools, protocols, and applications working together to drive positive ecological outcomes through the creation of a public, blockchain based, ecological assets marketplace ",
What is regen network?,Regen network is a a platform for ecological regeneration,
What is regen network?,"Regen Network is a public, application specific blockchain providing a full stack, community owned system for minting ecological asset tokens and bringing them to market.",
What is Regen Network?,"Regen Network's application-specific blockchain allows farmers, foresters, and land stewards to originate high-quality, nature-based carbon credits to markets, catalyzing regenerative finance solutions to the climate crisis. Regen Marketplace takes advantage of Regen Ledger, which brings transparency and public governance to voluntary carbon markets.",
What is Regen Network?,"Regen Network is the project bringing sustainability and environmentalism to the Cosmos ecosystem. The innovative network is a Proof-of-Stake blockchain focused on ecological data, assets, and agreements using the Tendermint Consensus Engine and built on Cosmos SDK.",
What is regen network?,"Regen Network is a public, proof-of-stake blockchain with an Ecological Registry anchored to it to incentivize ecological stewardship. The Regen Ledger enables the development of applications built on top of the blockchain that utilize its native tokens, $REGEN. These applications serve to connect ecological data with financial markets in order to incentivize and finance regenerative land management around the world. Ecocredits are one application build on top of Regen Ledger and the Regen Registry. I’m mostly sure that’s right, I’m still learning.",
What is Regen Network's governance model?,"Regen Network’s governance model is Proof of Stake with a substantial upgrade: the Community Staking DAO allocation. The hybrid of pure PoS with an identity and reputation based community of organizations securing and governing the network will create a best in class trust layer for verifying, securing and exchanging natural capital assets.",
What is Regen Network's governance model?,"The basic principles of community governance are very simple. Anyone staking $REGEN is eligible to vote on and submit proposals. Proposals, including the process that leads up to the vote itself, are used to make changes to code & procedure, utilize Community Spend funds, elect community members to upgraded roles, and generally find consensus on questions facing the network. 

Proposals are the backbone of community governance. Below is the life cycle of the average proposal, though not every proposal will go through every stage. In certain circumstances, an emergency proposal may need to be submitted, such as to fix a security vulnerability or a critical bug in the software. In these cases the earlier stages of the proposal process may be omitted.  ",
What is Regen Network’s objective?,"To encourage nature-based solutions. For example, solutions based on regenerative agriculture, conservation, and best management practices, as a strategy to mitigate and/or adapt to climate change.",
What is Regen Network’s objective?,Regen Network seeks to be the foundation for a global ecological accounting system that incentivizes and accelerates regenerative land management practices.,
What is Regen Registry focused on?,"Regen Registry is focused exclusively on NbS. Other activities, for instance focused on sustainable energy or energy savings, transportation, industrial process, and construction, while undoubtedly important, are not the current focus of our program.",
What is Regen Registry’s objective?,To store the ecological health data necessary to create a decentralized system for ecological regeneration. ,
What is REGEN?,"$REGEN is a digital asset that powers the Regen Network, a decentralized platform for environmental data and risk management. The Regen Network enables communities, enterprises, and ecosystems to self-organize around ecological goals and objectives.",
What is Regeneration?,"Regeneration is the growth of vitality, viability and evolutionary capacity of a system. As defined by our mentor Carol Sanford, the seven first principles of regeneration are: whole, potential, reciprocity, essence, nestedness, nodal, and development",
What is regenerative intelligence?,"Regenerative intelligence using machine learning and other related technologies to regenerate natural systems. It's also the capacity of social systems to regenerate natural systems. It is the ability to build a bridge between the health of the natural world, the state of our natural resources and the health of our communities. It is understanding that our collective quality of life, our health, our security, our prosperity, our quality of life, all of that is deeply interlinked with the health of our natural systems. Regenerative intelligence is about understanding that we are not separate from nature, that in fact we are nature, and we are nature with agency.",
What is regenerative intelligence?,Regenerative Intelligence involves the use of data science and artificial intelligence to aid in verifying ecological data at scale to enable the regeneration of ecosystems,
What is regenerative intelligence?,Regenerative intelligence is the capacity to learn how to regenerate ecosystems. It involves using data science and machine learning tools in combination with ecological models in order to understand how human activity is impacting an ecosystem over time and then use this understanding as the basis for regenerating that ecosystem.,
What is the Data Module and how does it fit in with the Ecocredit Module,"The Data Module is intended to sit alongside the Ecocredit Module, serving as a flexible yet opinionated module for storing complex metadata and registering data schemas pertaining to a ecocredit batch or ecosystem service project.",
What is the Data Module and how does it fit in with the Ecocredit Module?,"The ecocredit module is the primary module for managing ecocredits. The data module  allows you to store and query metadata about those credits, which is necessary in order to manage a credit system that involves multiple parties issuing different types of credits. ",
What is the Data Module and how does it fit in with the Ecocredit Module?,"The ecocredit module is the primary module for managing ecocredits. The data module  allows you to store and query metadata about those credits, which is necessary in order to manage a credit system that involves multiple parties issuing different types of credits.",
What is the Data Module and how does it fit in with the Ecocredit Module?,"The ecocredit module is the primary module for managing ecosystem service credits, while the data module enables content hashes to be anchored with a timestamp and registered with a resolver. The data module can be used to provide verifiable supporting data for credit classes, projects, and credit batches that are created and managed using the ecocredit module.",
What is the difference between attesting and anchoring in the context of regen network?,"Attest allows for digital signing of an arbitrary piece of data on the blockchain. By attesting to data, the attestor is making a statement about the veracity of the data itself. It is like signing a legal document, meaning that I agree to all conditions and to the best of my knowledge everything is true. When anchoring data, the sender is not attesting to the veracity of the data, they are simply communicating that it exists.

On-chain signatures have the following benefits:

on-chain identities can be managed using different cryptographic keys that change over time through key rotation practices
an on-chain identity may represent an organization and through delegation individual members may sign on behalf of the group
the blockchain transaction envelope provides built-in replay protection and timestamping
Attest implicitly calls Anchor if the data was not already anchored.

Attest can be called multiple times for the same content hash with different attestors and those attestors will be appended to the list of attestors. If the same attestor attempts to attest to the same piece of data, the attestor will be ignored and a new attestation with a new timestamp will not be added.",
What is the difference between attesting and anchoring in the context of regen network?,"Attesting to data is a way of indicating that you agree with the content, meaning or interpretation of the data. In other words, it serves as an endorsement of some piece (or pieces) of data by one or more parties which are attested to in sequence.

Anchoring refers specifically to digitally signing and broadcasting a piece of data to the blockchain. The result is an anchored entry which can be referenced by hash in order to maintain state on-chain without having any centralized gatekeepers or pools of storage & bandwidth.",
What is the difference between common pool resources and public goods?,"Common pool resources are resources that can be depleted, sustained, or regenerated by the decisions of a specific community. In order to be considered a common pool resource there does need to be a specific community that ""owns"" or ""stewards"" or is the ""custodian"" of the resource in question. Example of this could be a forest, or river that is running through land under the stewardship of a specific community. Public Goods on the other hand, can be enjoyed by anyone who is a part of the public, without permission or exclusion. An example of this would be a public park, or a town square, or open source software.",
What is the difference between common pool resources and public goods?,"Common pool resources are rivalrous, meaning that one person's use of the resource diminishes everyone else's ability to also utilize it. This is in contrast with public goods which can be consumed by many people without diminishing anyone else's access or enjoyment of them.",
What is the difference between the Data Module and the Ecocredit Module?,"While the Ecocredit Module enables the creation and management of credit classes, projects and credit batches, the Data Module provides the verifiable supporting data for them. ",
What is the difference between validation and attestation?,"Validation and attestation may sound similar but they are different concepts. Validation is a way to ensure that data is accurate and has not been tampered with and typically refers to a role in proof of stake systems. Attestation is a way to sign off on the accuracy of data, meaning that the attester agrees that the contents of the data are true and accurate, to the best of their knowledge.

Attesting to data is a way to validate a piece of data. Attesting to data is comparable to signing a legal document and implies the contents of the data are accepted to be true by the attester to the best of their knowledge. When data is attested to, an attester entry is stored on chain including the identifier (IRI) of the anchored data, the address of the attester, and a timestamp representing the time at which the data was attested to. The attester entry can be thought of as a digital signature.",
What is the difference is between a private vs public management of carbon credits.,"On the ground projects that are issuing eco-credits may be commons based or under private management. Eco-credits are issued to denote ecological outcomes that benefit communities beyond the boundaries of the project itself. For instance a pasture under commons management that uses managed grazing and maintains riparian buffers will increase soil carbon, decrease run off, and increase biodiversity. The same is true of a pasture under private management that follows the same practices. Private management vs commons management in this case can be seen as a cultural choice.",
"What is the distinction between the regen registry, the regen ledger, and the regen network?",,
What is the Ecocredit Module?,"The Ecocredit Module is our module for managing the issuance, trading, and retiring of credits pertaining to verifiable changes in ecosystem health. It’s designed to function as an open platform for credit designers, and will first be used for Regen Network's own CarbonPlus Grasslands credit.",
What is the Ecocredit Module?,,
What is the guideline for the minimum amount of time a proposal should be discussed before it is submitted?,"All proposals should first be socialized on the Regen Network Governance Forum before they are submitted on chain (especially before the deposit is made, which will start the voting period).",
What is the long-term vision of the Regen Ledger?,"To digitize a process that uses publicly available datasets and models to auto-generate and contractually distribute ecosystem service credits to incentivize positive ecological outcomes. In short, rewarding land stewards for their regenerative practices.",
What is the long-term vision of the Regen Ledger?,"The Regen Ledger is a public, open-source blockchain application built to be the backbone for an entire ecosystem of tools and applications dedicated to regenerative agriculture. The long term vision for the project is to become the industry standard for verifying and tracking ecological data related to ecosystem health. ",
What is the minimum required information required to socialize a governance proposal?,"When socializing a proposal, the forum post should include a rational for the proposal that weighs the potential pros and cons of the outcome and provides supporting documentation and examples when appropriate.",
What is the process for submitting a governance proposal to Regen Network?,"Before an official proposal is submitted, it should first go through a community discussion period. This not only gets the community engaged in the topic before the one-week voting period, but also weeds out proposals likely to fail. The discussion period can also be used to gauge community sentiment regarding the finer details of the future proposal. ",
What is the purpose of regen network?,"Regen Network incentivizes regenerative land use practices, restores ecosystems and reverses climate change.",
What is the real world application of Regen Network?,"The real world application of Regen Network to create a global ecological accounting system and unlock the potential to reward increases in ecosystem health is imperative to creating a coordinated response to climate instability, soil loss, and biodiversity decline.",
What is the regen ledger?,"Regen Ledger is a public, proof of stake (PoS) blockchain developed with the Cosmos Software Development Kit (SDK) built for verification of claims, agreements & data related to ecological state. Regen Ledger enables multiple registries to communicate and transact with each other producing a public ecological accounting system.",
What is the Regen Ledger?,"The Regen Ledger is a public, proof of stake (PoS) blockchain developed with the Cosmos Software Development Kit (SDK) built for verification of claims, agreements & data related to ecological state.

Regen Ledger enables multiple registries to communicate and transact with each other producing a public ecological accounting system.

The Cosmos SDK is the most widely used proof-of-stake based blockchain development framework in the world.

It is the go-to development tool kit for creating a sovereign, energy efficient, highly secure blockchain based application.",
What is the Regen Ledger?,"The Regen Ledger serves as a directory of ecological data sources. While some data might be more valuable on-chain, the data will be largely sold off-chain to obtain the knowledge as to who submitted the data. The hash of the data will point to where this data is stored. The blockchain technology, in the case of the Regen’s Network, makes automated auditing possible, after which the appropriate data can be completely transparent.",
What is the Regen Marketplace?,The Regen Marketplace is going to allow for the direct peer-to-peer sale of ecological assets. It will also allow for the automated purchase and issuance of carbon credits. ,
